Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IPF13- Verify Customers can change the quantity of products,N7-53,10305,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:28 PM,06/Jan/23 4:47 PM,17/Mar/23 8:50 PM,,,0,Cart," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,,,N7-52,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Customers can change the quantity of products,,,,,0|i001p3:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
IPF12- Verify Customers can delete their orders,N7-52,10304,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:27 PM,06/Jan/23 4:46 PM,17/Mar/23 8:52 PM,,,0,Cart," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-53,,N7-51,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Customers can delete their orders,,,,,0|i001ov:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
IPF11 - Verify Customers can view their orders,N7-51,10303,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,hieu nhu,6392e5b0fde064eda2f2f3db,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:25 PM,06/Jan/23 4:46 PM,17/Mar/23 8:52 PM,,,0,Cart," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-52,,N7-50,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Customers can view their orders,,,,,0|i001on:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF10 - Verify If the password is changed successfully, the system displays success",N7-50,10302,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:23 PM,06/Jan/23 4:46 PM,17/Mar/23 8:52 PM,,,0,ChangePassword," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-51,,N7-48,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"If the password is changed successfully, the system displays success",,,,,0|i001of:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"SC - Verify New Account - After logging in, remove the product from the cart",N7-49,10301,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,hieu nhu,6392e5b0fde064eda2f2f3db,hieu nhu,6392e5b0fde064eda2f2f3db,06/Jan/23 4:23 PM,06/Jan/23 4:28 PM,17/Mar/23 8:52 PM,,,0,NewAccount,"After logging in, remove the product from the cart",,hieu nhu,6392e5b0fde064eda2f2f3db,,,,,,,,,,,,"Product removed from cart
 but you are not logged in, you can still delete",,,,,,,,,,BAN-7,New Account,,,Product removed from cart,,,,,0|i001o7:,,BAN Sprint 3,,,,,,,,System,"1. on login
2. enter required field
3.enter tieptuc

4. on cart
5. enter xoa san pham",,Fail,,,To Do
IPF9 - Verify Successful login go to Account Information page,N7-48,10300,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:22 PM,06/Jan/23 4:45 PM,17/Mar/23 8:52 PM,,,0,Login," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-50,,N7-47,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,Successful login go to Account Information page,,,,,0|i001nz:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF8 - Verify  If the login is not successful, a message will appear",N7-47,10299,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:21 PM,06/Jan/23 4:45 PM,17/Mar/23 8:52 PM,,,0,Login," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-48,,N7-46,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"If the login is not successful, a message will appear",,,,,0|i001nr:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF7 - Verify  If the login is successful, it will show a successful login message",N7-46,10298,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:20 PM,06/Jan/23 4:45 PM,17/Mar/23 8:52 PM,,,0,Login," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-47,,N7-45,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"If the login is successful, it will show a successful login message",,,,,0|i001nj:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF6 - Verify  If email and password are blank, do not allow login",N7-45,10297,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:17 PM,06/Jan/23 4:45 PM,17/Mar/23 8:52 PM,,,0,Login," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-46,,N7-44,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"if email and password are blank, do not allow login",,,,,0|i001nb:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"IPF5 - Verify  Account created successfully, go to login page",N7-44,10296,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,Toàn Khánh,6392dd552acfad92d7b631d3,Toàn Khánh,6392dd552acfad92d7b631d3,06/Jan/23 4:16 PM,06/Jan/23 4:45 PM,17/Mar/23 8:52 PM,,,0,EditAccount," Account editing is successful, the system displays a successful message",,Toàn Khánh,6392dd552acfad92d7b631d3,,,,,,,,,N7-45,,N7-42,Error-free display,,,,,,,,,,BAN-8,Edit Account,,,"Account created successfully, go to login page",,,,,0|i001n3:,,N7 Sprint 2,,,,,,,,Integratiom,,,Pass,,,To Do
"SC - Verify New Account - After you change your password, you can log in",N7-43,10295,Story,To Do,N7,N7_CD21CT6,software,Toàn Khánh,6392dd552acfad92d7b631d3,,Medium,,,,hieu nhu,6392e5b0fde064eda2f2f3db,hieu nhu,6392e5b0fde064eda2f2f3db,06/Jan/23 4:16 PM,06/Jan/23 4:28 PM,17/Mar/23 8:52 PM,,,0,NewAccount,"After you change your password, you can log in",,hieu nhu,6392e5b0fde064eda2f2f3db,,,,,,,,,,,,Go to Account Info page,,,,,,,,,,BAN-7,New Account,,,Go to Account Info page,,,,,0|i001mv:,,BAN Sprint 3,,,,,,,,System,"1. on Thay đổi mật khẩu
2. enter required field
3.enter tieptuc

4. on login
5. enter required field
6. enter tieptuc",,Pass,,,To Do
